text,salary_benefits,training_learning,management_leadership,culture_environment,office_workspace,work_hours_workload,career_growth_opportunities,process_policies,hr_recruitment,project_technology,job_security,general,company,reviewer_id
"môi_trường làm_việc chuyên_nghiệp , anh_em hỗ_trợ nhau rất tốt . lãnh_đạo thân_thiện , định_hướng rõ_ràng . mình học được rất nhiều khi làm ở đây .",0,1,1,1,0,0,0,0,0,0,0,0,123 Website,9913cd
"mới ra trường đã may_mắn vào công_ty này . không_khí thân_thiện , học được rất nhiều về dự_án thực_tế và cách làm teamwork .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,d66d38
"công_ty chuyên về wordpress nên được học_hỏi nhiều trick hay , làm theme / plugin chuyên_sâu . sếp định_hướng tốt , không micromanage .",0,1,1,0,0,0,0,0,0,3,0,0,123 Website,7833bb
"app android / ios làm bằng flutter , maui nên tech khá mới . leader chịu chia_sẻ , mình nâng_cấp kỹ_năng khá nhanh khi làm ở đây .",0,1,1,0,0,0,0,0,0,1,0,0,123 Website,62da47
"mới vào 1 tuần nhưng cảm_nhận được sự thân_thiện và chuyên_nghiệp . onboarding kỹ_lưỡng , có mentor kèm cặp sát .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,a21e4d
"công_ty dùng . net bài_bản , code sạch , quy_trình rõ . có ci / cd , source quản_lý nghiêm_túc . hài_lòng về kỹ_thuật .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,7c9ae0
"làm content mà hiểu tech là điều hiếm có . nhờ teamwork với dev nên mình hiểu hơn về sản_phẩm , viết chuẩn seo hiệu_quả hơn .",0,1,0,1,0,0,0,0,0,0,0,0,123 Website,7cf1fe
"khách_hàng của công_ty đa_dạng , có trải_nghiệm làm nhiều ngành_nghề . công_ty áp_dụng quy_trình agile linh_hoạt và hiệu_quả .",0,0,0,0,0,0,0,1,0,1,0,0,123 Website,115ada
"sếp tin_tưởng team , giao cho mình quản_lý kỹ_thuật từ sớm . lâu rồi mới thấy một công_ty khơi_gợi được tinh_thần ownership như_vậy .",0,0,1,1,0,0,0,0,0,0,0,0,123 Website,f3422e
"công_ty làm_việc bài_bản , có quy_trình rõ_ràng , được training thường_xuyên . mình từ fresher lên được middle là nhờ môi_trường ở đây .",0,1,0,1,0,0,1,1,0,0,0,0,123 Website,567ed9
"không_khí làm_việc tích_cực , không drama . sếp không soi tiểu_tiết , miễn_đạt kết_quả tốt là được . rất tôn_trọng chuyên_môn .",0,0,1,1,0,0,0,0,0,0,0,0,123 Website,e2dd67
"mình làm remote vẫn được hỗ_trợ đầy_đủ , họp đều_đặn và update công_việc rõ_ràng . lương chuyển đúng hạn , môi_trường minh_bạch .",1,0,0,1,0,0,0,1,0,0,0,0,123 Website,76d019
"làm support nhưng không bị áp_kpi phi_lý . mình được training kỹ , có tài_liệu đầy_đủ . khách_hàng của công_ty cũng khá văn_minh .",0,1,0,1,0,0,0,1,0,0,0,0,123 Website,e12c34
"mình từng làm ở công_ty lớn , qua đây thấy quy_trình gọn hơn , nhưng vẫn rất bài_bản . không quan_liêu , team thân_thiện .",0,0,0,1,0,0,0,1,0,0,0,0,123 Website,90299f
"làm part-time vẫn được coi_trọng như full-time . lịch linh_hoạt , có_thể trao_đổi với quản_lý nếu cần nghỉ hoặc dời_lịch .",0,0,1,1,0,1,0,0,0,0,0,0,123 Website,1f7a98
"làm web với react , vuejs ở đây sướng . thiết_kế đưa rõ_ràng , không phải đoán . dev được đưa ý_kiến để cải_thiện ui / ux .",0,0,0,1,0,0,0,1,0,1,0,0,123 Website,d145fb
công_ty thân_thiện . làm_việc có trách_nhiệm . sẽ ủng_hộ công_ty này dài_hạn .,0,0,0,1,0,0,0,0,0,0,0,1,123 Website,7b1a70
"né gấp nha mấy bạn , giống như mấy cmt kia , bảo_hiểm thì không đóng vào app thì nợ mấy tháng gần cả năm khám bệnh chụp bill lại thì kiếm cớ né_tránh không chi_trả , làm_việc thì toàn hứa_sếp như quần_què",2,0,2,0,0,0,0,0,0,0,0,0,123 Website,2ce85e
"Mình làm sales ở đây hơn 1 năm , chứng_kiến công_ty từ 20 người lên hơn 100 người , chính_sách KD nhiều khi không ổn lắm nhưng được_cái lương sales so với các công_ty khác khá cao . Ngoài_ra văn_hóa DN xây_dựng rất tốt , tinh_thân đoàn_kết và ăn_chơi nhảy_múa cao .",1,0,0,1,0,0,0,2,0,0,0,0,1Office| Workway,01f161
"Đã từng làm ở đây , những member làm trên 6 tháng ( vào chính_thức ) thưởng tết cũng chỉ được 500 k , còn những member dưới 6 tháng vừa ko được đóng BH lại ko có thưởng tết , ngày lễ , tết_dương , trung_thu ko có gì , nói_chung chế_độ phúc_lợi kém , lương thì bèo , môi_trường thì chán . Có ông thắng giám_đốc quen được mấy bọn nhà_báo nên lên truyền_hình cho_hay thôi chứ thực_chất trả có cái vẹo gì",2,0,2,2,0,0,0,0,0,0,0,0,1Office| Workway,a68738
"=))) nói_chung thì éo có gì để nói , chỉ là công_ty này k nên vào làm ae à",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,d6e87a
"Lương_thưởng làm_gì có đâu , review lương thì 12 tháng tính từ thời_gian ký hợp_đồng , nhưng có_thể bị reject không tăng . Sếp thì toàn soi rồi dìm nhân_viên . Đéo hiểu sao có người gắn_bó lâu_dài ở đây được",2,0,2,0,0,0,0,2,0,0,0,2,1Office| Workway,dcfb04
"Công_ty như sshit , né gấp kẻo hối_hận",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,23b570
"- Không còn từ nào có_thể miêu_tả được người sếp ở đây : cái gì cũng chen vào xử_lý , từ việc nhỏ nhất . ; lúc_nào cũng quát_mắng to_tiếng đập bàn đập ghế với nhân_viên , luôn coi mình là đúng ( cũng phải công_ty của ông thích làm đéo gì thì ông làm ) - quản_lí cấp trung vào làm được 1 thời_gian là chạy mất_dép vì éo_chịu nổi tính sếp . - bod lật mặt nhanh như trở bàn_tay , nghỉ cũng ko_yên , tìm mọi cách trừ lương . - đồng_nghiệp : mn khá hòa đồng , vui_vẻ , thân_bthiện . Không_gian làm_việc thoáng . Tuy_nhiên , sẽ có những con_người lắm chuyện , hay chọc bạn sau lưng lúc_nào mà bạn đéo biết .",2,0,2,3,1,0,0,0,0,0,0,0,1Office| Workway,f4c3f6
Công_ty sida nhất từng làm,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,41979e
"Trong đợt dịch thứ 2 bùng_phát thì đúng lúc công_ty tổ_chức đi du_lịch . Mọi người ai cũng sợ đi , nhân_viên trong HCM mới bàn ko đi_nữa thì sếp_T mới nổi_khùng , bảo là giờ ai không đi thì bỏ tiền_túi ra đền tiền máy_bay . Nghe buồn_cười ép nhân_viên đi . Nch_cty làm_việc k chuyên_nghiệp sếp_T lúc_nào bị khách chửi họp sẵn_sàng đm nhân_viên như thường .",0,0,2,2,0,0,0,2,0,0,0,0,1Office| Workway,a47a6a
"Sếp cục_xúc , chửi nhân_viên thì không ra gì . Mới vào được nửa tháng mà đêm ngủ giật_mình thom_thóp . Lượn nhanh còn kịp",0,0,2,0,0,2,0,0,0,0,0,0,1Office| Workway,1d4e5b
Trong chán thì ngoài cũng đừng thèm . Có thời_gian sẽ review hết từ chế_độ đến môi_trường : V,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,b81484
"Công_ty như lìn , ko nên apply . Sẽ phải hối_hận",0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,edddfe
"PM thì như ma_trận , mỗi chỗ 1 kiểu , đã vậy còn hay lỗi hay thiếu nhưng được_cái mấy ông Dev hài_lòng về sản_phẩm của mình lắm các bác ạ . Làm_việc được mấy tháng mà sợ chạy mất_dép , nói_chung là không nên vào , phí thanh_xuân mấy tháng rồi mà chả được cái gì .",0,0,0,2,0,0,2,2,0,2,0,0,1Office| Workway,bb0d6c
"Công_ty như cái quần_què , giẻ_rách , keo_kiệt , bủn_xỉn , từ CEO cho tới đội DEV.Mấy review tốt tốt chắc giờ thuê được marketing dập rồi :)))",2,0,2,0,0,0,0,0,0,0,0,0,1Office| Workway,6342c0
"Mình review thời_gian hiện_tại của cty tháng 6/2020 : - Đóng bảo_hiểm : Thử việc xong 2 tháng , nhưng cty chưa đóng bảo_hiểm khi đã làm 4 tháng - Phần_mềm : Lỗi thì khỏi phải bàn , xuất báo_cáo chắc 1 2 ngàu mới xong , chỉ đc mỗi cái giao_diện copy ở mấy trang nước_ngoài về nhìn có cảm_tình hơn mấy pm cũ cũ . - Lương : Tin tuyển_dụng rõ cao nhưng thực_tế nèo_tèo , nv nghỉ liên_tục . KN 2 3 năm trả 7 8 tr , với chả bh có chuyện tăng lương , làm 2 3 năm tăng đc 500 k",2,0,0,2,0,0,0,2,2,2,0,0,1Office| Workway,afd2b5
"Review chút còn vô hay không là do các bácSếp như gấu_trúc kinh_kinh , hở_tí là chửi nhân_viên , không biết đúng_sai cũng cứ chửi đã và không nghe giải_thích ? ? ? , Công_ty không có nghỉ_phép , Được mỗi cái phụ_cấp gửi xe thì đi muộn mấy phút cũng trừ , đãi_ngộ nhân_viên kém",2,0,2,0,0,2,0,2,0,0,0,0,1Office| Workway,5cc0b6
"Em vừa vào , được phết mà . Đợi 1 năm sau quay lại đánh_giá lại nhé",0,0,0,0,0,0,0,0,0,0,0,1,1Office| Workway,eedaf8
"Mới vào , được quan_tâm phếtCông việc chưa có gì khó chịuSẽ kiểm_nghiệm báo lại anh_em sau 3 tháng nữa",0,0,0,1,0,1,0,0,0,0,0,0,1Office| Workway,ff022f
"Né đi các bác ! Công_ty này chán từ tất_cả mọi thứ luôn . Sếp trông như con gấu , làm_việc thì như con_hổ mà lương lậu như con kiến còn đãi_ngộ thì tàng_hình_=)) Nói_chung là sếp khinh người , văn_hóa công_ty không có và nhân_viên ở lại thì ếch ngồi đáy giếng tâng bốc nhau .",2,0,2,2,0,0,0,0,0,0,0,0,1Office| Workway,4d5594
"Đã từng làm_việc ở đây , chưa gặp công_ty nào củ chuối như công_ty này , sếp thì bần_tiên , bẩn_tính cứ có gì ko hài_lòng là lại về chút_giận với nhân_viên , còn ăn quỵt_lương của nhân_viên . Khuyên mọi người đừng nên vào đây làm",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,0ed7ec
"Chức_năng phần_mềm thì cùi mía . Kiểu làm ra để cho học_sinh xài mà quảng_cáo cho doanh_nghiệp xài . DMN ! Khách_hàng toàn than_phiền , mà mãi chả bao_giờ hoàn_tất từ quí này đến quí khác . Làm_ăn kiểu lừa_đảo .",0,0,2,0,0,0,0,2,0,2,0,0,1Office| Workway,f6f0a1
"các bạn ơi , các bạn né công_ty này ra nhé , công_ty là_là công_ty lừa_đảo ạ , em làm chi_nhánh hồ chí_minh còn bị lừa và quỵt bớt lương . không nhưng lừa nhân_viên mà_còn lừa_đảo cả khách_hàng ạ . sếp thắng nói hay nhưng xấu_tính và bẩn_tính lắm ạ , mong các bạn_đọc được và tránh",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,08bcad
Max sida . Méo gì cứ thấy doanh_số cao là nghĩ cách hạ % được thưởng xuống . Ko biết giờ đã đỡ bẩn chưa ?,2,0,2,0,0,0,0,0,0,0,0,0,1Office| Workway,eed440
"Cảm_thấy may_mắn khi rời khỏi đây , chế_độ kém , sếp cục súc , ...",2,0,2,0,0,0,0,0,0,0,0,2,1Office| Workway,e21048
"Công_ty môi_trường khá thoải_mái , lương vừa không cao nhưng cũng không thấp , bị cái chính_sách thay_đổi xoành_xoạch , tháng trước tháng sau chính_sách đã khác , nhìn_chung cấp trên khá ổn , trừ vài người ở trụ_sở HN",3,0,1,1,0,0,0,2,0,0,0,0,1Office| Workway,d83e75
"Review dài thì ít ai đọc , chê bai ngắn thì đầy người xem ... Mình làm ở đây 2 năm rưỡi rồi chưa muốn rời đi , thứ nhất về những kiến_thức mình nhận được , thứ hai là tình_cảm gắn_bó cùng đồng_nghiệp . Giờ có bị đuổi thì mới đi thôi . Công_ty đáng để các bạn thử_sức , quan_trọng là chính_kiến cá_nhân và năng_lực bản_thân mình phát_triển đến đâu . Hi_vọng sẽ được làm đồng_nghiệp sắp tới của anh_em . Welcome welcome :D",0,1,0,1,0,0,1,0,0,0,0,0,1Office| Workway,d8de7f
"Cty này quịt lương nhân_viên , trốn đóng bảo_hiểm và thuế . Mọi người nên né không thì đi làm_không công đấy",2,0,0,0,0,0,0,0,0,0,0,0,1Office| Workway,b8dbc8
"Mình thấy nhiều người review về công_ty khá là tệ , mình không biết những người đó đã thực_sự làm_việc ở đây trước khi review chưa hay chỉ nghe lại , nhưng mình sẽ đánh_giá cty ở đây theo đúng những gì mình được trải qua và cảm_nhận : - Về môi_trường làm_việc : + Mọi người trong công_ty vô_cùng trẻ_trung và năng_động ( tầm 9 x là nhiều ) , khi mới bắt_đầu mình còn bỡ_ngỡ thì được mọi người giúp_đỡ rất nhiệt_tình , giúp mình hòa_nhập với văn_hóa công_ty rất nhanh , ngoài_ra a_trưởng phòng team mình còn là một người rất vui_tính và thích chơi game nên mình hay rủ_a TP chơi game cùng + Mọi người trong công_ty ( đặc_biệt là các sếp ) , vô_cùng nghiêm_túc và nghiêm_khắc trong công_việc ( Đi làm mà không nghiêm_khắc thì nhân_viên làm_loạn , muốn làm_gì thì làm à ) , còn lúc vui_chơi thì mọi người cùng nhau chơi hết_mình , lúc đó cảm_giá của mình như không còn khoảng_cách giữa nhân_viên hay leader nữa . - Lương_thưởng : Lương_thử việc , chính_thức cũng như thời_gian từ thử việc lên chính_thức đều được deal lúc đi phỏng_vấn rồi , mọi người cảm_thấy hợp_lý thì mới đi làm ( thử việc của mình là 6 tr , thử việc 1 tháng , lên chính_thức là 8 tr ) , lúc ký hợp_đồng sẽ có một_vài điều_khoản khác với deal ( cái này phải đi làm thật_sự mới biết được ) , tuy_nhiên lợi_ích sẽ không thiệt đi đâu cả nếu bạn là nhân_viên làm_việc có tâm và nghiêm_túc",1,1,1,1,0,0,0,2,3,0,0,0,1Office| Workway,b1617b
"Đây không phải môi_trường để phát_triển bản_thân . Nếu bạn bạn cần học thêm điều gì đó về chuyên_môn , mong_muốn một môi_trường làm_việc happy , một doanh_nghiệp có văn_hóa tốt thì 1O_ffice không phải là chỗ bạn đang tìm . Cảm_hứng làm_việc ở đây cũng",0,2,0,2,0,0,2,0,0,0,0,0,1Office| Workway,85a087
"Đã từng chứng_kiến có những người đạt được cả trăm triệu một tháng , lương ở đây không phải lương cứng như làm ở các cơ_quan nhà_nước , ở đây làm_việc dựa trên năng_lực , người nào làm nhiều hưởng nhiều , làm ít hưởng ít , cơ_hội chia đều cho tất_cả mọi người . Đi làm không làm được chỉ săm_soi về khuyết_điểm của cty thì cả đời chả khá được , mấy bạn chê ở đây cho mình hỏi cty nào hoàn_hảo như các bạn miêu_tả thế để mình xin vào làm với .",1,0,0,1,0,0,1,0,0,0,0,0,1Office| Workway,fc1715
"Bạn nào yêu thích nghề Sale , muốn tăng skill , kiếm nhiều tiền , quen được đồng_nghiệp cute hạt me thì nên ứng_tuyển vào đây nha . Không hề phí đâu :D",1,1,0,1,0,0,0,0,0,0,0,0,1Office| Workway,cae29f
Ngoài e_HR xinh ra thì cty đéo có gì để vào đâu ae ạ . né gấp còn kịp,0,0,0,0,0,0,0,0,0,0,0,2,1Office| Workway,c5fe46
"Công_ty nào chả có cái nọ cái kia , bù lại đồng_nghiệp đúng tình_cảm , hòa đồng , làm_việc cũng thoải_mái chạy số :D",0,0,0,1,0,1,0,0,0,0,0,0,1Office| Workway,bd2ef6
"Éo biết anh_em làm ở đây thế_nào , đọc thấy toàn review của mấy bạn nghỉ rồi bức_xúc nên quay lại chửi công_ty ) ) : Mình làm ở đây hơn 1 năm , nói_chung chấm được 7/10_CEO nóng_tính nhưng_mà tình_cảm , xúc_động toàn khócCTO thì như người ngoài hành_tinh nhưng giỏi vc luônGĐ kinh_doanh thì nhiệt_tình , điềm_đạm mỗi tội đầu hóiChị trợ_lý thì giỏi công_ty thiếu_trưởng bộ_phận nào thì bà í làm hết , mà giờ chắc nghỉ sinh_rồiThích nhất văn_phòng đẹp , hay tổ_chức ăn chơiChế_độ thì chưa rõ_ràng nhưng làm tốt vẫn được tăng lươngChỉ ko thích mấy em_gái cứ nghĩ mình là bố thiên_hạ nên hay vênh mặt",1,0,1,3,1,0,0,2,0,0,0,1,1Office| Workway,5da2fa
"Lúc sale thì nhiệt_tình , đến lúc kí hợp_đồng triển_khai xong rồi , thì dev thụ_động chả có support gì hết",0,0,0,1,0,0,0,2,0,0,0,0,1Office| Workway,52bb39
"Đã từng làm ở đây , sản_phẩm khá hay và đúng chất thời_đại_4.0 , khách_hàng cũng dễ kiếm và nhu_cầu đổi_mới cũng cao . Cứ tập_trung vào làm là có ngay doanh_số thôi . Môi_trường kinh_doanh thì trẻ , năng_động . Sếp cũng không khó_tính ( HCM nhé các mình ơi ) . Chuyện công_ty thì có rất nhiều nhưng mình chả quan_tâm mấy , chủ_yếu vào làm kiếm tiền thôi . Nói_túm lại là mình thấy ổn . Chỉ là không làm lâu được do chuyển đi nơi khác ở rồi kkk",0,0,1,1,0,0,0,0,0,1,0,1,1Office| Workway,187a61
"Mấy con HR 1 office từ đời HR tên U làm_ăn mất_dạy , năng_lực tệ hết chỗ nói",0,0,0,0,0,0,0,0,2,0,0,0,1Office| Workway,5c42d3
"Tháng 1 cả thưởng gần trăm củ . Tháng 2 nghỉ tết nên sương sương_10M . Tháng 3 tập_trung nhiều thứ nên có 30M . Đây là lương của mình ở . 1O_ffice , và mình đ nói_xấu công_ty . Các ông nói_xấu toàn kiểu không làm được_việc thì mới thế , chứ cứ lương cao như bọn tôi đi xem .",1,0,0,0,0,0,0,0,0,0,0,0,1Office| Workway,fed64c
"sau vài tháng lm ở cty thì mình thấy cty nào thì cũng như nhau , sẽ có người làm tốt nhưng ko có cơ_hội thể_hiện năng_lực hoặc có năng_lực nhưng ko được nhìn_nhận . Cũng sẽ có những người được ưu_ái thì luôn có thành_tích cao hơn . Cho_Nên đôi_lúc chăm_chỉ siêng_năng có tinh_thần cầu_tiến thì chưa chắc nhận lại những thứ xứng_đáng , kiểu cũng phải "" tùy_duyên "" nữa cơ_:))) So với các công_ty khác thì nhân_viên ở đây đa_số còn trẻ làm B2B nhưng vẫn chưa chuyên_nghiệp lắm",0,0,2,2,0,0,2,0,0,0,0,0,1Office| Workway,8bf463
"Chưa bàn đến chính_sách , ai có năng_lực thì ngta không rảnh lên đây review chê_bai này nọ đâu . Sale công_ty nào mà ko chạy số bục mặt , còn đã ko chạy nổi lại lôi chính_sách này nọ ra . Đến chịu",0,0,0,0,0,3,0,0,0,0,0,0,1Office| Workway,f676df
"Gửi hồ_sơ thì mất , công_ty không chuyển được cũng không hoàn lại thư , cưới_phí thì đắc_gấp đôi những hãng chuyển_phát khác . Dịch_vụ rất tệ .",0,0,0,0,0,0,0,0,0,0,0,2,247 Express,e6462f
"Một công_ty vô_cùng đáng sợ , đấu đá tranh_giành nói_xấu nhau đủ kiểu , đi làm mà như đi đánh_trận . Bà trưởng phòng kinh_doanh gì đó thì ác như quỷ , chửi nhân_viên hơn chó , chửi trước mặt toàn nhân_viên công_ty để cho nhục . Chuyên đi nói_xấu các phòng_ban khác , lúc_nào cũng thích nghe nịnh_nọt . Thêm được mấy người leader suốt ngày nịnh_nọt , đi làm kiếm tiền mà cứ như đi ăn_xin vậy",0,0,2,2,0,0,0,0,0,0,0,0,247 Express,31d10f
"Bức_xúc quá nay lên giải_tỏa cùng anh_em nè :)) - HR nhận CV của ứng_viên mà không thèm đọc , cứ thấy nộp là auto gọi đi phỏng_vấn mà không sàng_lọc xem có phù_hợp với yêu_cầu công_ty hay không , làm mất thời_gian của cả 2 bên . - Hẹn ứng_viên 14 h , mới 13 h gọi hỏi ủa em ơi em đang ở đâu , sao chị mời em 13 h mà ? !_Mình trả_lời từ tốn hẹn 14 h_lận mà chị , nhưng nếu chị muốn pv sớm em sẽ có_mặt lúc 13 h30 vì nhà em lên cty cũng hơi xa , cúp máy cái rụp . - Lên tới cty , ko biết HR hay ai ra nhìn nhìn CV , xong hỏi ủa em chưa tốt_nghiệp à em ? Xong bỏ đi 1 nước vô_phòng , 10 p sau quay ra bảo em về đi , chị trưởng phòng đi họp rồi , về đi bên anh hẹn em lên phỏng_vấn lại sau nha ? ! 13 h trưa chạy từ Q8 qua Q7 như 1 con điên để rồi nhận được câu nói vui ghê_ahihi . - Và từ đó về sau ko hề có mail hay bất_kì cuộc_gọi nào hẹn đi pv lại , cũng như từ_chối mình hihihiCông_ty chuyên_nghiệp quá nè_:))) chuyên tạo_nghiệp nha =))))",0,0,0,0,0,0,0,0,2,0,0,0,247 Express,dc212b
"Lương 6 triệu . Làm từ 8 h sáng tới 8 h tối , văn_phòng nóng_nực ko có_điều hòa . Khách_hàng khiếu_nại liên_tục , đấu đá nói_xấu dìm nhau . Hãm_hại nhau , cướp khách_hàng nhau . Làm 1 năm mới có bảo_hiểm ... Chán",2,0,0,2,2,2,0,0,0,0,0,0,247 Express,411709
"k biết công_ty này có chuyên_nghiệp hay k nhưng ngay từ đầu đi pv mình đã k muốn hợp_tác . để uv đợi hơn 30 ' mới đc vào phòng pv . vào trong đó thì có chị kia pv mình , mình k nhớ chức_vụ chị đó là gì nhưng nhìn cách ăn_mặc và cách pv khác xa công_ty cũ của mình , k có tí chuyên_nghiệp gì cả . pv 4-5 ' là xong nhanh ghê . chẳng biết mình đậu hay rớt nhưng nếu đậu mình cũng k vào làm . à mình pv vị_trí nhân_viên kinh_doanh",0,0,0,2,0,0,0,0,2,0,0,0,247 Express,6b4d55
"Sếp của phòng kinh_doanh đúng như dân chợ_búa , miệng lúc_nào cũng chửi . Chưa tìm_hiểu câu_chuyện nhưng mở mồm_chửi trước cái đã mà chửi cho nhân_viên nể thì k nói còn bà này chửi toàn làm cho nhân_viên cười vô_mặt . Sống thì thích nịnh nọt ai nịnh thì được cưng ai k biết nịnh thì sớm out vs bị đì",0,0,2,2,0,0,0,0,0,0,2,0,247 Express,145de9
"Đừng nên vào công_ty này sẽ rất phí thời_gian , công_việc không rõ_ràng , chế_độ chính_sách mập_mờ , làm_việc thiếu trách_nhiệm , môi_trường không thân_thiện , chỉ là kiểu quan_hệ giả_lã hình_thức .",0,0,0,2,0,0,0,2,0,0,0,2,247 Express,e81ec4
